['1', '31.00', '30.00', '21-01-2020 14:18:45']
['1', '31.00', '29.00', '21-01-2020 14:18:55']
['1', '31.00', '30.00', '21-01-2020 14:19:05']
['1', '32.00', '29.00', '21-01-2020 14:19:15']
['1', '35.00', '27.00', '21-01-2020 14:19:25']
['1', '31.00', '29.00', '21-01-2020 14:19:35']
['1', '30.00', '30.00', '23-01-2020 11:56:22']
['1', '30.00', '31.00', '23-01-2020 11:55:57']
['1', '30.00', '30.00', '23-01-2020 11:56:02']
['1', '30.00', '30.00', '23-01-2020 11:56:07']
['1', '25.00', '23.00', '23-01-2020 11:56:12']
['1', '30.00', '30.00', '23-01-2020 11:56:17']
['1', '34.00', '28.00', '23-01-2020 11:57:37']
['1', '35.00', '27.00', '23-01-2020 11:57:12']
['1', '29.00', '30.00', '23-01-2020 11:57:17']
['1', '29.00', '30.00', '23-01-2020 11:57:22']
['1', '33.00', '28.00', '23-01-2020 11:57:27']
['1', '35.00', '27.00', '23-01-2020 11:57:32']
['1', '30.00', '30.00', '23-01-2020 11:58:53']
['1', '30.00', '31.00', '23-01-2020 11:58:58']
['1', '35.00', '27.00', '23-01-2020 11:59:03']
['1', '33.00', '28.00', '23-01-2020 11:59:08']
['1', '30.00', '35.00', '23-01-2020 11:59:13']
['1', '30.00', '30.00', '23-01-2020 12:02:24']
['1', '32.00', '29.00', '23-01-2020 12:02:29']
['1', '30.00', '30.00', '23-01-2020 12:02:34']
['1', '30.00', '33.00', '23-01-2020 12:02:39']
['1', '30.00', '30.00', '23-01-2020 12:02:44']
['1', '30.00', '37.00', '23-01-2020 12:03:19']
['1', '31.00', '29.00', '23-01-2020 12:03:24']
['1', '31.00', '29.00', '23-01-2020 12:03:29']
['1', '34.00', '28.00', '23-01-2020 12:03:34']
['1', '32.00', '29.00', '23-01-2020 12:03:39']
['1', '31.00', '29.00', '23-01-2020 12:06:30']
['1', '33.00', '28.00', '23-01-2020 12:06:35']
['1', '31.00', '29.00', '23-01-2020 12:06:40']
['1', '33.00', '28.00', '23-01-2020 12:06:45']
['1', '31.00', '32.00', '23-01-2020 12:06:50']
['1', '31.00', '29.00', '23-01-2020 12:08:40']
['1', '31.00', '29.00', '23-01-2020 12:08:45']
['1', '31.00', '29.00', '23-01-2020 12:08:50']
['1', '31.00', '29.00', '23-01-2020 12:08:55']
['1', '31.00', '28.00', '23-01-2020 12:09:00']
['1', '31.00', '31.00', '23-01-2020 12:53:34']
['1', '31.00', '30.00', '23-01-2020 12:53:39']
['1', '30.00', '30.00', '23-01-2020 12:53:44']
['1', '31.00', '29.00', '23-01-2020 12:53:49']
['1', '31.00', '35.00', '23-01-2020 12:53:54']
['1', '31.00', '29.00', '23-01-2020 12:53:59']
['1', '36.00', '27.00', '23-01-2020 12:54:04']
['1', '31.00', '29.00', '23-01-2020 12:54:09']
['1', '31.00', '29.00', '23-01-2020 12:54:14']
['1', '31.00', '29.00', '23-01-2020 12:54:19']
['1', '34.00', '28.00', '23-01-2020 12:54:24']
['1', '30.00', '30.00', '23-01-2020 12:54:29']
['1', '31.00', '29.00', '23-01-2020 12:54:34']
['1', '31.00', '29.00', '23-01-2020 12:54:39']
['1', '31.00', '29.00', '23-01-2020 12:54:45']
['1', '31.00', '30.00', '23-01-2020 12:54:50']
['1', '31.00', '28.00', '23-01-2020 12:54:55']
['1', '31.00', '29.00', '23-01-2020 12:55:00']
['1', '31.00', '33.00', '23-01-2020 12:55:05']
['1', '31.00', '29.00', '23-01-2020 12:55:10']
['1', '31.00', '30.00', '23-01-2020 12:55:15']
['1', '31.00', '29.00', '23-01-2020 12:55:20']
['1', '34.00', '28.00', '23-01-2020 12:55:25']
['1', '34.00', '28.00', '23-01-2020 12:55:30']
['1', '33.00', '28.00', '23-01-2020 12:55:35']
['1', '31.00', '29.00', '23-01-2020 12:55:40']
['1', '35.00', '27.00', '23-01-2020 12:55:45']
['1', '30.00', '31.00', '23-01-2020 12:55:50']
['1', '31.00', '30.00', '23-01-2020 12:55:55']
['1', '31.00', '29.00', '23-01-2020 12:56:00']
['1', '32.00', '29.00', '23-01-2020 12:56:05']
['1', '31.00', '32.00', '23-01-2020 12:56:10']
['1', '31.00', '30.00', '23-01-2020 12:56:15']
['1', '31.00', '29.00', '23-01-2020 12:56:21']
['1', '30.00', '30.00', '23-01-2020 12:56:26']
['1', '31.00', '29.00', '23-01-2020 12:56:31']
['1', '31.00', '29.00', '23-01-2020 12:56:36']
['1', '31.00', '29.00', '23-01-2020 12:56:41']
['1', '31.00', '29.00', '23-01-2020 12:56:46']
['1', '31.00', '32.00', '23-01-2020 12:56:51']
['1', '31.00', '29.00', '23-01-2020 12:56:56']
['1', '31.00', '29.00', '23-01-2020 12:57:01']
['1', '31.00', '29.00', '23-01-2020 12:57:06']
['1', '32.00', '29.00', '23-01-2020 12:57:11']
['1', '31.00', '29.00', '23-01-2020 12:57:16']
['1', '31.00', '29.00', '23-01-2020 12:57:21']
['1', '32.00', '29.00', '23-01-2020 12:57:26']
['1', '31.00', '31.00', '23-01-2020 12:57:31']
['1', '31.00', '29.00', '23-01-2020 12:57:36']
['1', '31.00', '29.00', '23-01-2020 12:57:41']
['1', '31.00', '29.00', '24-01-2020 11:49:11']
['1', '31.00', '29.00', '24-01-2020 11:49:16']
['1', '31.00', '29.00', '24-01-2020 11:49:21']
['1', '31.00', '29.00', '24-01-2020 11:49:26']
['1', '31.00', '29.00', '24-01-2020 11:49:31']
['1', '34.00', '28.00', '24-01-2020 11:49:36']
['1', '31.00', '29.00', '24-01-2020 11:49:41']
['1', '31.00', '29.00', '24-01-2020 11:49:46']
['1', '31.00', '29.00', '24-01-2020 11:49:51']
['1', '31.00', '29.00', '24-01-2020 11:49:56']
['1', '33.00', '28.00', '24-01-2020 11:50:02']
['1', '31.00', '29.00', '24-01-2020 11:50:07']
['1', '31.00', '29.00', '24-01-2020 11:50:12']
['1', '31.00', '30.00', '24-01-2020 11:50:17']
['1', '35.00', '27.00', '24-01-2020 11:50:22']
['1', '31.00', '29.00', '24-01-2020 11:50:27']
['1', '31.00', '30.00', '24-01-2020 11:50:32']
['1', '33.00', '28.00', '24-01-2020 11:50:37']
['1', '31.00', '29.00', '24-01-2020 11:50:42']
['1', '31.00', '31.00', '24-01-2020 11:50:47']
['1', '31.00', '29.00', '24-01-2020 11:50:52']
['1', '31.00', '30.00', '24-01-2020 11:50:58']
['1', '31.00', '30.00', '24-01-2020 11:51:03']
['1', '32.00', '30.00', '24-01-2020 11:51:08']
['1', '32.00', '30.00', '24-01-2020 11:51:13']
['1', '33.00', '31.00', '24-01-2020 11:51:53']
['1', '33.00', '33.00', '24-01-2020 11:51:58']
